id,name,country,country_code,position,price,is_eliminated,photo_url,created_at,current_price,opta_name
1214,Alireza Beiranvand,IR Iran,IRN,GK,4.2,false,,2026-06-16 15:40:31.485821,4.2,A. Beiranvand
1215,Shahriyar Moghanlou,IR Iran,IRN,FWD,4.2,false,,2026-06-16 15:40:31.485821,4.2,S. Moghanloo
1216,Ali Alipour,IR Iran,IRN,FWD,4.6,false,,2026-06-16 15:40:31.485821,4.6,A. Alipour
1217,Amirhossein Hosseinzadeh,IR Iran,IRN,FWD,4.5,false,,2026-06-16 15:40:31.485821,4.5,A. Hosseinzadeh
1218,Milad Mohammadi,IR Iran,IRN,DEF,3.8,false,,2026-06-16 16:05:47.399862,3.8,M. Mohammadi
1219,Merchas Doski,Iraq,IRQ,DEF,3.8,false,,2026-06-17 10:41:57.493292,3.8,Merchas Doski
1220,Ali Al Hamadi,Iraq,IRQ,FWD,4.7,false,,2026-06-17 10:41:57.493292,4.7,Ali Al Hamadi
1221,Marko Farji,Iraq,IRQ,MID,4.4,false,,2026-06-17 10:41:57.493292,4.4,Marko Farji
1222,Ahmed Qasem,Iraq,IRQ,MID,4.4,false,,2026-06-17 10:41:57.493292,4.4,Ahmed Qasem
1223,Jalal Hassan,Iraq,IRQ,GK,3.9,false,,2026-06-17 10:41:57.493292,3.9,Jalal Hassan
1224,Yazan Al Arab,Jordan,JOR,DEF,3.7,false,,2026-06-17 10:41:57.493292,3.7,Yazan Al Arab
1225,Mousa Al Tamari,Jordan,JOR,FWD,5.6,false,,2026-06-17 10:41:57.493292,5.6,Mousa Al Tamari
1226,Mohammad Abu Al Nadi,Jordan,JOR,DEF,3.5,false,,2026-06-17 10:41:57.493292,3.5,Mohammad Abu Al Nadi
1227,Mahmoud Al Mardi,Jordan,JOR,FWD,4.2,false,,2026-06-17 10:41:57.493292,4.2,Mahmoud Al Mardi
1228,Saed Al Rosan,Jordan,JOR,DEF,3.5,false,,2026-06-17 10:41:57.493292,3.5,Saed Al Rosan
1229,Mohammad Al Daoud,Jordan,JOR,MID,4.7,false,,2026-06-17 10:41:57.493292,4.7,Mohammad Al Daoud
